,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
330,WASP-143,QLP,1800, TEP  ,9.0,23.0,22.96,2.0,55.0,57.1,12.58,11.32,0.1286,1.9,2457099.94471,0.00015,3.778873,3.2E-06,arXiv:1812.09264,1.013,1.234,0.0149730857179373,286099128,12.239,52.21519644374540,1.087,0.725,0.049,5.22968457253544E-09,3.778873
335,WASP-148,TESS-SPOC,1800, TEP  ,16.0,56.0,31.32,44.0,18.0,9.4,12.04,10.51,0.129,0.7,2457957.4877,0.0059,8.80381,4.3E-06,arXiv:2004.14645,1.03,0.722,0.00495792357433311,115524421,11.5906,29.879809688252600,1.0,0.291,0.0845,1.62590727351633E-10,8.80381
336,WASP-150,TESS-SPOC,1800, TEP  ,17.0,37.0,3.14,53.0,1.0,16.4,12.03,10.75,0.1299,0.4,2457217.2614,0.0004,5.644207,4E-06,arXiv:2004.06622,1.651,1.07,0.00423812040653371,321668398,11.5429,17.6768252442955,1.394,8.46,0.0694,9.60164863918919E-08,5.644207
343,WASP-160,QLP,1800, TEP  ,5.0,50.0,43.06,-27.0,37.0,23.4,13.09,11.06,0.11855,2.0,2457383.65494,0.00021,3.768495,3.4E-06,arXiv:1807.06973,0.872,1.093,0.0158528458337136,32949762,12.3352,49.3321109186598,0.89,0.281,0.0455,1.69489173057199E-09,3.768495
365,WASP-184,QLP,1800, TEP  ,13.0,58.0,4.09,-30.0,20.0,53.3,12.71,11.26,0.19900000000000000,0.7,2457630.008,0.001,5.1817,1E-05,arXiv:1907.11667,1.65,1.33,0.00655594461056015,112099249,12.1577,25.3212721374341,1.23,0.57,0.0627,1.21437262134879E-08,5.1817
20,HAT-P-12,"SPOC, TESS-SPOC","1800, 120", TEP  ,13.0,57.0,33.47,43.0,29.0,36.8,12.8,10.11,0.0974,2.0,2456446.635829,3.6E-05,3.21305766,1.3E-07,arXiv:1810.02172,0.679,0.919,0.0184838040729621,198108326,11.7551,66.5366691570333,0.691,0.201,0.03767,1.14918245426067E-09,3.21305766
52,HAT-P-44,"TESS-SPOC, SPOC","1800, 120", TEP  ,14.0,12.0,34.56,47.0,0.0,52.9,13.21,11.28,0.1302,2.1,2456204.47794,0.00019,4.3011886,1E-06,arXiv:1812.05882,0.949,1.242,0.0172826624989424,168699373,12.4474,50.1422902011831,0.942,0.352,0.0507,1.78272039200407E-09,4.3011886
76,HAT-P-69,"QLP, SPOC","1800, 120", TEP  ,8.0,42.0,1.35,3.0,42.0,38.0,9.77,9.28,0.2117,0.8,2458495.78818,0.00072,4.7869467,2E-06,arXiv:1906.00462,1.854,1.626,0.007761068294241790,379929661,9.6129,141.119181236597,1.698,3.73,0.06629,7.80512577720872E-08,4.7869467000000000
77,HAT-P-70,"TESS-SPOC, SPOC","1800, 120", TEP  ,4.0,58.0,12.56,9.0,59.0,52.7,9.47,8.96,0.145,1.0,2458439.57519,0.00041,2.74432452,7.3E-07,arXiv:1906.00462,1.858,1.87,0.010220959700133000,399870368,9.3371,168.487259876015,1.89,0.0,0.04739,0.0,2.74432452
115,HATS-39,"QLP, SPOC","1800, 120", TEP  ,7.0,29.0,40.63,-29.0,56.0,16.4,12.75,11.52,0.1555,1.4,2457315.28338,0.00055,4.5776348,7.3E-06,2018MNRAS.477.3406B,1.621,1.57,0.00946527327829411,112604564,12.3213,39.938150645013000,1.379,0.63,0.06007,1.3573861197524E-08,4.5776348
116,HATS-40,"QLP, SPOC","1800, 120", TEP  ,6.0,42.0,17.1,-29.0,46.0,36.5,13.38,12.15,0.2221,0.8,2456962.676,0.001,3.2642736,5.8E-06,2018MNRAS.477.3406B,2.26,1.58,0.00493170599126792,172598832,12.941000000000000,17.4270158390797,1.561,1.59,0.04997,4.00211787566704E-07,3.2642736
117,HATS-41,"TESS-SPOC, SPOC","1800, 120", TEP  ,6.0,54.0,4.18,-27.0,3.0,1.4,12.68,11.5,0.0915,0.5,2456795.724,0.0014,4.193649,1.3E-05,2018MNRAS.477.3406B,1.71,1.33,0.00610394966049383,53750200,12.2309,11.6561848375514,1.496,9.7,0.0583,2.92265885084773E-07,4.193649
118,HATS-42,"QLP, SPOC","1800, 120", TEP  ,7.0,13.0,48.58,-33.0,26.0,14.4,13.62,12.25,0.1361,1.2,2456768.60734,0.00069,2.292102,2.1E-06,2018MNRAS.477.3406B,1.48,1.4,0.00902885176223521,98283926,13.1472,17.533099643938200,1.273,1.88,0.03689,3.18709458597605E-07,2.292102
126,HATS-51,"TESS-SPOC, QLP, SPOC","1800, 120", TEP  ,6.0,51.0,23.4,-29.0,3.0,31.0,12.47,10.87,0.1384,1.3,2457042.00405,0.00058,3.3488702,3.9E-06,2018AJ....155...79H,1.44,1.41,0.00967415682400174,53458803,11.8656,47.875144860603,1.187,0.768,0.04639,3.87169649285202E-08,3.3488702000000000
127,HATS-52,"QLP, SPOC","1800, 120", TEP  ,9.0,20.0,21.05,-31.0,16.0,9.6,13.67,12.11,0.0871,2.0,2456929.03039,0.00033,1.36665436,9.4E-07,2018AJ....155...79H,1.046,1.382,0.0176137812806046,19684256,13.1758,22.8762789733986,1.111,2.24,0.02498,5.38927590533949E-07,1.36665436
128,HATS-53,"QLP, SPOC","1800, 120", TEP  ,11.0,46.0,30.72,-33.0,51.0,36.2,14.14,12.05,0.1461,2.0,2457236.75653,0.00049,3.8537768,3.8E-06,2018AJ....155...79H,1.101,1.34,0.0149463394346317,157266693,13.1648,29.875852422685400,0.964,0.595,0.04753,8.54747149877778E-09,3.8537768
131,HATS-56,"QLP, SPOC","1800, 120", TEP  ,12.0,0.0,39.63,-45.0,47.0,58.0,11.58,10.25,0.1934,0.7,2457788.0029,0.0012,4.324799,2.7E-05,arXiv:1812.07668,2.201,1.688,0.00593478078139279,272213425,11.1138,49.6526709861096,1.573,0.602,0.06043,5.09336988631515E-08,4.324799
